Symbol,Company Name,Market Cap,% Change,Volume,Revenue
AGYS,"Agilysys, Inc.",2.13B,-0.08%,2183,228.14M
DAVA,Endava plc,2.13B,2.31%,1867563,968.73M
LSPD,Lightspeed Commerce Inc.,2.09B,1.11%,1006129,863.28M
ROG,Rogers Corporation,2.08B,1.48%,179018,908.40M
VECO,Veeco Instruments Inc.,2.08B,1.43%,332882,666.44M
UCTT,"Ultra Clean Holdings, Inc.",2.07B,1.80%,241316,1.73B
XRX,Xerox Holdings Corporation,2.07B,0.54%,209281,6.89B
SWI,SolarWinds Corporation,2.05B,2.66%,270328,758.74M
ARRY,"Array Technologies, Inc.",2.01B,0.49%,26025,1.58B
VRNT,Verint Systems Inc.,1.95B,0.95%,86,881.53M
BMBL,Bumble Inc.,1.91B,0.66%,2216,1.05B
PLAB,"Photronics, Inc.",1.89B,2.47%,1266,897.32M
RUM,Rumble Inc.,1.89B,0.30%,23840,80.53M
ACMR,"ACM Research, Inc.",1.86B,-0.20%,30255,557.72M
COMP,"Compass, Inc.",1.81B,-0.53%,3249645,4.89B
FSLY,"Fastly, Inc.",1.81B,2.20%,3765394,505.99M
EVCM,EverCommerce Inc.,1.78B,2.27%,60055,667.73M
UPBD,"Upbound Group, Inc.",1.78B,0.09%,77,3.99B
SOUN,"SoundHound AI, Inc.",1.74B,11.71%,4866364,45.87M
VTEX,VTEX,1.73B,6.21%,2334885,201.52M
MXL,"MaxLinear, Inc.",1.73B,4.09%,543617,693.26M
CNXN,"PC Connection, Inc.",1.73B,-0.32%,63231,2.85B
SPNS,Sapiens International Corporation N.V.,1.69B,2.30%,117982,514.58M
DQ,Daqo New Energy Corp.,1.68B,6.42%,2623675,2.31B
VICR,Vicor Corporation,1.68B,-0.32%,502,405.06M
PRO,"PROS Holdings, Inc.",1.67B,1.71%,411853,303.71M
PAYO,Payoneer Global Inc.,1.65B,-0.67%,2500169,831.10M
SEMR,"Semrush Holdings, Inc.",1.62B,8.12%,1232278,307.68M
DCBO,Docebo Inc.,1.61B,0.59%,1707,180.84M
NATL,NCR Atleos Corporation,1.60B,-0.61%,278816,-
BB,BlackBerry Limited,1.60B,2.25%,3769378,831.00M
CSGS,"CSG Systems International, Inc.",1.57B,0.02%,155133,1.17B
EXTR,"Extreme Networks, Inc.",1.54B,-0.25%,3192,1.35B
COHU,"Cohu, Inc.",1.54B,2.44%,627,636.32M
SMTC,Semtech Corporation,1.52B,1.67%,5985,843.32M
TTMI,"TTM Technologies, Inc.",1.51B,0.61%,2284,2.23B
NTCT,"NetScout Systems, Inc.",1.51B,1.03%,379334,834.11M
STER,Sterling Check Corp.,1.49B,-,501244,719.64M
GRND,Grindr Inc.,1.48B,5.58%,1282873,242.13M
KN,Knowles Corporation,1.48B,0.85%,465669,707.60M
EVBG,"Everbridge, Inc.",1.45B,-0.14%,564290,448.79M
HLIT,Harmonic Inc.,1.45B,-0.39%,149617,607.91M
JKS,"JinkoSolar Holding Co., Ltd.",1.42B,0.94%,454273,15.94B
BASE,"Couchbase, Inc.",1.41B,4.57%,1836,171.57M
AVPT,"AvePoint, Inc.",1.40B,-,19299,271.83M
MLNK,"MeridianLink, Inc.",1.40B,1.22%,200121,299.59M
CTS,CTS Corporation,1.38B,0.78%,59772,550.42M
GCT,GigaCloud Technology Inc.,1.38B,-7.48%,45359,584.70M
AMPL,"Amplitude, Inc.",1.34B,0.41%,24,276.28M
CSIQ,Canadian Solar Inc.,1.34B,2.01%,4335,7.88B
ETWO,"E2open Parent Holdings, Inc.",1.32B,6.91%,1175714,642.37M
PDFS,"PDF Solutions, Inc.",1.32B,3.99%,146432,165.84M
CRSR,"Corsair Gaming, Inc.",1.31B,1.52%,1232,1.46B
ICHR,"Ichor Holdings, Ltd.",1.31B,0.80%,184405,811.12M
ZUO,"Zuora, Inc.",1.31B,6.03%,1200578,424.03M
SGH,"SMART Global Holdings, Inc.",1.26B,2.76%,901871,1.25B
DBD,"Diebold Nixdorf, Incorporated",1.25B,1.19%,135453,3.49B
FORTY,Formula Systems (1985) Ltd.,1.19B,-0.69%,247,2.64B
ADEA,Adeia Inc.,1.19B,2.45%,11279,388.79M
PAR,PAR Technology Corporation,1.18B,0.26%,71128,415.82M
GDS,GDS Holdings Limited,1.17B,-1.74%,2307,9.80B
TASK,"TaskUs, Inc.",1.14B,-0.62%,77,932.32M
INFN,Infinera Corporation,1.12B,-11.80%,10742,1.65B
BHE,"Benchmark Electronics, Inc.",1.11B,1.34%,149251,2.84B
SCSC,"ScanSource, Inc.",1.11B,-0.47%,228328,3.59B
IMOS,ChipMOS TECHNOLOGIES INC.,1.09B,1.22%,118,766.03M
TUYA,Tuya Inc.,1.08B,-0.53%,321579,229.99M
CRCT,"Cricut, Inc.",1.08B,6.21%,2637,765.15M
DGII,Digi International Inc.,1.06B,1.47%,202,441.63M
PGY,Pagaya Technologies Ltd.,1.04B,7.91%,4945,786.90M
IE,Ivanhoe Electric Inc.,1.04B,7.74%,736669,3.90M
PUBM,"PubMatic, Inc.",1.04B,-0.82%,2156,267.01M
HIMX,"Himax Technologies, Inc.",1.03B,3.89%,2409,945.43M
INDI,"indie Semiconductor, Inc.",1.02B,6.30%,2658,223.17M
ATEN,"A10 Networks, Inc.",1.00B,-0.74%,501874,251.70M
MODN,"Model N, Inc.",970.34M,1.10%,173773,253.80M
NVTS,Navitas Semiconductor Corporation,964.38M,0.56%,35080,79.46M
GDYN,"Grid Dynamics Holdings, Inc.",953.91M,1.22%,328007,312.91M
RPAY,Repay Holdings Corporation,935.55M,-1.14%,629368,296.63M
GB,Global Blue Group Holding AG,934.01M,6.09%,29179,403.84M
RSKD,Riskified Ltd.,926.70M,-1.70%,840633,297.61M
NYAX,Nayax Ltd.,922.02M,7.71%,40192,235.49M
OLO,Olo Inc.,905.00M,-,703396,228.29M
WALD,Waldencast plc,881.39M,-2.17%,37386,166.13M
SSYS,Stratasys Ltd.,865.60M,7.89%,570,627.60M
CORZ,"Core Scientific, Inc.",858.60M,5.21%,28654,-
YALA,Yalla Group Limited,842.91M,3.24%,335880,313.07M
VMEO,"Vimeo, Inc.",841.06M,10.13%,9329,417.21M
WEAV,"Weave Communications, Inc.",831.58M,-1.17%,292101,162.46M
TWKS,"Thoughtworks Holding, Inc.",829.42M,2.80%,170,1.13B
BBAI,"BigBear.ai Holdings, Inc.",825.07M,-1.57%,22872573,154.96M
YEXT,"Yext, Inc.",799.15M,8.22%,3443201,405.11M
